day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
23,0,0.9323918737329028,-0.10253656207189077,0.4214397697228204,0.3904533314798017,-0.04750313767459678,-0.30030168307706295,0.029239632220591734,4__1
24,0,0.9286217603733171,-0.10399082551994948,0.42078990297924496,0.3904976267967152,-0.0475142618788258,-0.3004083653985587,0.029263181918399363,4__1
25,0,0.9250604247470374,-0.10535677639672426,0.4201838692970811,0.39053669902515337,-0.047523802494278754,-0.30050854325854126,0.02928536228007449,4__1
26,0,0.9320227127541049,-0.10392455892124239,0.4213796538246579,0.3905018567621107,-0.04751717622565721,-0.3003303628117593,0.02925970923800745,4__1
27,0,0.9267854568089366,-0.10431886759169355,0.4170479860927985,0.39138044594177235,-0.04747185719480021,-0.30088517103686574,0.029260856276198618,4__1
28,0,0.9289163926597646,-0.10381390195134478,0.4168274231103244,0.3914753023957443,-0.04746691039217104,-0.30089173144716275,0.029250809646806295,4__1
29,0,0.8929211720799427,-0.10050394038354464,0.4187446293681915,0.39114200621064715,-0.047386158003748034,-0.30224029343099135,0.02923461865462786,4__1
30,0,0.8757064278436816,-0.09846792484918156,0.4185606173478299,0.3915991964192277,-0.04736500473062563,-0.30308354797699716,0.02895794719170143,4__1
31,0,0.868496754364272,-0.09814348117530224,0.4184516683725743,0.39164432950102473,-0.04736589027324289,-0.3034264513896521,0.028842875940298756,4__1
32,0,0.8536916148920494,-0.09935876346323413,0.41740200622239276,0.3920167989667842,-0.04738370214898971,-0.3043260424340619,0.028600342204942807,4__1
33,0,0.8613510379797963,-0.09836721089479707,0.41804555498718343,0.3918205971102116,-0.04741571422593428,-0.3038253658912293,0.028722211109325685,4__1
34,0,0.8620990237826176,-0.09833795014465824,0.4181233738309638,0.39180508550634136,-0.047415086759161576,-0.3037797673250175,0.028734713602392402,4__1
35,0,0.86334755877058,-0.09828196761625714,0.4181878369884218,0.3918078859103676,-0.04741498051677753,-0.3037148913264546,0.028754562414723364,4__1
36,0,0.8719803754831754,-0.10196037481543307,0.41845150867196806,0.391877015980064,-0.04745334866088282,-0.303435006786883,0.028896758019718735,4__1
