series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
8__0,Team 8,Finishing,Overtime,-0.015379457526299524,-0.02420355500164295,-0.006972766274945625,960.0,960.0,10368.0,min,Reduces,Clear,Smaller,6
8__1,Team 8,Sewing,Incentive,0.34841890801469316,0.31520800135903426,0.38410321249003804,30.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
8__1,Team 8,Sewing,WIP,0.24402227305930382,0.16003691912294937,0.3286475883540955,913.9999999999997,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
8__1,Team 8,Sewing,Workers,0.1451874657208091,0.020123915886841016,0.27425295730492644,56.00000000000001,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
8__1,Team 8,Sewing,SMV,-0.14362093407474466,-0.18366668851448198,-0.10204585727623026,29.48,1.8999999999999997,29.48,,Reduces,Clear,Moderate,4
8__1,Team 8,Sewing,Style Changes,0.031124791497754004,0.009261512156506724,0.05325236567268559,1.0,0.0,2.0,,Supports,Clear,Smaller,5
8__1,Team 8,Sewing,Overtime,-0.015861188292119622,-0.024892991485118733,-0.007238012791430145,6840.000000000002,960.0,10368.0,min,Reduces,Clear,Smaller,6
9__0,Team 9,Finishing,Workers,0.16246506474298877,0.12812867844013004,0.19668401729815485,14.0,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,1
9__0,Team 9,Finishing,SMV,-0.14534949809790063,-0.20242816385723397,-0.0918616908340131,1.8999999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,2
9__0,Team 9,Finishing,WIP,0.13473337452073678,0.028259437649617625,0.2490229529621384,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Moderate,3
9__0,Team 9,Finishing,Incentive,0.08029513609719395,0.02001634842750908,0.13171510223647673,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
9__0,Team 9,Finishing,Style Changes,0.019996341496412638,0.005914924089945828,0.0338612386826335,0.0,0.0,2.0,,Supports,Clear,Smaller,5
9__0,Team 9,Finishing,Overtime,-0.010995882183023184,-0.01757954423042054,-0.004942960796556638,1800.0,960.0,10368.0,min,Reduces,Clear,Smaller,6
9__1,Team 9,Sewing,Incentive,0.2788678221864558,0.24091567000746383,0.3159067549647767,45.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
9__1,Team 9,Sewing,WIP,0.2760107159859994,0.17893473000972426,0.3760624776322887,290.0000000000001,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
9__1,Team 9,Sewing,Workers,0.16369121584378551,0.060360603478814105,0.2745575697972133,51.00000000000003,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
9__1,Team 9,Sewing,SMV,-0.13913354900931538,-0.17727390875036544,-0.0989353821620504,17.79,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
9__1,Team 9,Sewing,Style Changes,0.02761558050651891,0.00833357245944708,0.046599262288334185,0.0,0.0,2.0,,Supports,Clear,Smaller,5
9__1,Team 9,Sewing,Overtime,-0.014635888424691714,-0.023074282765383335,-0.006605938134227076,5040.0,960.0,10368.0,min,Reduces,Clear,Smaller,6
